ntdid,name,ssw,mode,servicetype,time,Time Service Begins,Time Service Ends,veh_oper,vmt,vmt_rev,Deadhead Miles,Scheduled Vehicle Revenue Miles,Actual Vehicle Hours,Vehicle Revenue Hours,Deadhead Hours,Charter Service Hours,School Bus Hours,Train Cars in Operation,Actual Miles,Revenue Miles,Deadhead Miles,Actual Hours,Revenue Hours,Deadhead Hours,Unlinked Passenger Trips,ADA Trips,Sponsored Service Trips,pmt,Days of Service Operated,Days not operated due to strikes,Strike description,Days not operated due to officially declared emergencies,Emergency description
5,Everett Transit,N,DR,DO,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Everett Transit,N,DR,DO,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Everett Transit,N,DR,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Everett Transit,N,DR,DO,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Everett Transit,N,MB,DO,Annual Total,,,,1345855,1197752,148103,1197147,106176,99873,6303,0,0,,,,,,,,2004062,,,7314826,362,0,,0,
5,Everett Transit,N,MB,DO,Average Typical Saturday,646,2230,18,2195,1966,229,1967,168,158,10,,,,,,,,,,3051,,,10739,52,0,,0,
5,Everett Transit,N,MB,DO,Average Typical Sunday,646,2230,14,1790,1643,147,1644,133,127,6,,,,,,,,,,2243,,,8836,55,0,,0,
5,Everett Transit,N,MB,DO,Average Typical Weekday,427,2349,31,4444,3938,506,3939,354,332,22,,,,,,,,,,6706,,,24275,255,0,,0,
5,Everett Transit,N,MB,DO,Average Weekday - AM Peak,600,945,26,,,,,,,,,,,,,,,,,,,,,,,,,
5,Everett Transit,N,MB,DO,Average Weekday - Midday,945,1400,23,,,,,,,,,,,,,,,,,,,,,,,,,
5,Everett Transit,N,MB,DO,Average Weekday - Other,,,20,,,,,,,,,,,,,,,,,,,,,,,,,
5,Everett Transit,N,MB,DO,Average Weekday - PM Peak,1400,1830,31,,,,,,,,,,,,,,,,,,,,,,,,,
6,Yakima Transit,N,DR,PT,Annual Total,,,,465236,400765,64471,,40571,36346,4225,0,0,,,,,,,,74697,74697,0,259354,356,0,,0,
6,Yakima Transit,N,DR,PT,Average Typical Saturday,800,1900,12,561,476,85,,56,49,7,,,,,,,,,,99,,,324,52,0,,0,
6,Yakima Transit,N,DR,PT,Average Typical Sunday,800,1600,10,476,404,72,,49,45,4,,,,,,,,,,105,,,377,52,0,,0,
